student name,age,average mark
Verdell Crawford,30,8.86
Brenda Silva,30,7.53
Mary Glasser,30,9.77
Audrey Camille,30,4.15
Rosa Thomas,30,4.17
Kim Pyles,30,9.87
George Leno,30,9.47
Terry Major,30,8.45
Martha Pitcher,30,7.6
Doretha Ferguson,30,8.18
Amada Duncan,30,9.22
Deanna Kathan,30,8.9
David Cain,30,6.75
John Snow,30,8.67
Kevin Hadley,30,4.64
Annemarie Keller,30,7.62
Benjamin Sykes,30,6.9
Michael Zable,30,5.07
Catherine Wagner,30,4.32
Gregory Mccollum,30,9.8
Trevor Hansen,30,6.03
Pamela Alexander,30,6.6
Cindy Christiansen,30,6.47
Peter Hutchins,30,4.16
Ruth Minor,30,4.32
Wallace Lafleur,30,7.25
Loretta Bonsall,30,9.93
Anthony Gunter,30,4.74
Terry Chandler,30,5.21
John Holm,30,9.92
Charlotte Leftwich,30,7.96
Donald Colantuono,30,4.91
Jan Cunningham,30,8.83
Lynn Jones,30,5.8
Darryl Sutton,30,4.43
David Phillies,30,6.85
William Gonzales,30,6.71
Arthur Loveless,30,5.47
Louis Jones,30,5.97
Tim Moscoso,30,8.25
Robert Gibson,30,6.59
Lois Nelsen,30,5.88
Daniel Bell,30,5.16
Christine Franks,30,7.31
Velma Jobe,30,4.22
Emily Simpson,30,4.06
Donald Skinner,30,4.61
Dwight Johnson,30,4.06
Delphia Clarke,30,9.3
Johnny Alvidrez,30,6.61
Leslie Hamlin,30,6.67
Wesley Bouyer,30,9.94
Harry Wages,30,4.19
Robert Jackson,30,7.9
Samuel Regan,30,8.45
Harold Delgado,30,6.31
Jennifer Maxie,30,6.87
Cindy Frazier,30,7.0
Edwin Zeger,30,7.64
Sydney Anderson,30,7.15
Frank Lopez,30,6.66
Sheila Stier,30,5.88
Charles Fletcher,30,6.28
Ralph Finwall,30,8.17
Florence Lile,30,6.29
Aaron Netolicky,30,9.48
Cynthia Greene,30,4.37
Justin Mann,30,4.81
Dorothy Yeager,30,4.86
Clarence Cerverizzo,30,4.0
Louie Unrein,30,4.43
Herman Mcavoy,30,8.17
Mark Waits,30,5.81
Frances Nez,30,9.64
Eddie Shiels,30,9.1
Lee Davis,30,9.91
Jackie Johnson,30,9.15
Howard Smoot,30,7.52
Tammy Wong,30,6.13
Stanley Monteleone,30,4.76
Malcolm Smith,30,6.78
Rikki Gomes,30,7.19
Patricia Daniels,29,8.39
Donald Laurent,29,4.34
James Ross,29,6.72
Pauline Montoya,29,9.09
Andrew Schmidt,29,7.55
Ann White,29,4.26
Bridget Cotter,29,7.8
Maria Boswell,29,8.39
Lila Hill,29,9.83
Lena Weston,29,8.01
David Goins,29,6.27
Joyce Skaggs,29,8.43
James Elick,29,9.68
Ryan Henricks,29,8.58
Earl Anderson,29,4.2
Michael Routzahn,29,5.97
Travis Stanphill,29,8.21
Susan Chavis,29,5.89
Therese Butts,29,8.26
Diane Brady,29,9.86
Catina Burgin,29,8.47
George Woodard,29,7.87
Maria Wolfson,29,9.3
Hilda Kofford,29,6.36
Brandy Crockett,29,5.63
Thomas Phelan,29,4.34
Lenny Castoe,29,4.36
Laura Hoffmann,29,6.1
Hubert Williams,29,6.88
Marilyn Mathews,29,6.05
Mandy Hambric,29,8.22
Diane Stclair,29,4.53
Todd Netterville,29,5.38
Bernice Adams,29,6.98
Gloria Gutierrez,29,6.63
Lisa Palmieri,29,6.59
Rhonda Leona,29,9.24
William Grove,29,7.01
Sandra Hackney,29,5.68
Tina Tidwell,29,9.4
Sheldon Johnson,29,4.64
Amelia Costain,29,6.9
Jennifer Franz,29,4.82
Brenda Painter,29,8.07
Billie Hodge,29,7.17
Rachel Smith,29,9.5
Nancy Landrum,29,7.16
Cynthia Tippins,29,7.96
Anna Payne,29,6.15
James Pratka,29,4.13
Michael Toller,29,5.24
Jerry Pinner,29,5.0
Willie Haven,29,5.16
John Meyer,29,8.28
Cedric Wallace,29,4.08
Adrian Colvin,29,6.69
Thomas Weimer,29,4.32
Arlene Bauer,29,8.29
Sheila Hudson,29,5.37
Kate Pospicil,29,8.75
Kelly Holcomb,29,4.03
Gloria Gilreath,29,5.5
Alfred Mendez,29,9.9
Karen Spalding,29,9.24
Sheila Miranda,29,9.19
Jan Arndt,29,5.03
James Rivera,29,6.2
Louis Parson,29,8.36
Tammy Perry,29,9.07
Paul Colon,29,7.21
Michelle Torres,29,6.33
Nell Dyson,29,5.27
Florence Sooter,29,7.92
Tonya Sculley,29,4.54
Kimberly Tarver,29,4.65
Brian Perkins,29,6.69
Jennifer Turner,29,4.33
Larry Smith,29,5.43
Johnnie Yepez,29,6.35
Connie Butler,29,4.52
Brenna Szymansky,29,7.99
Luz Roseboro,29,8.46
Elissa Sinclair,29,7.02
Kelly Stewart,29,4.5
Gladys Purdom,29,9.43
Thomas Spaur,29,6.4
Gabrielle Szmidt,29,8.41
Thomas Roberts,28,5.28
Sherry Grant,28,4.43
Annie Sudbeck,28,9.85
George Guest,28,9.94
Maria Benear,28,9.12
Gerald Murray,28,7.04
Kenneth Rummel,28,6.6
Richard Crawford,28,7.76
Fred Maestas,28,5.83
Paula Morales,28,7.51
Kathryn Harryman,28,6.82
Elizabeth Lowe,28,7.42
Margaret Branstetter,28,6.57
Oscar Linahan,28,4.68
Esther Simmering,28,9.31
Jeffrey Ermitanio,28,9.5
Rigoberto Wilenkin,28,7.71
Arthur Lowrey,28,8.1
James Brokaw,28,6.26
Barbara Fine,28,4.7
John Merkel,28,7.08
Carlos London,28,7.19
Brian Cole,28,8.75
Denise Tanner,28,8.19
Don Smith,28,7.32
Louis French,28,7.63
Vera Mcdaniel,28,6.77
Kristy Gilbert,28,6.41
Christopher Greene,28,4.63
Teresa Owings,28,9.74
Dora Hass,28,5.83
Walter Musick,28,4.47
Elizabeth Scharf,28,8.47
Xavier Bishop,28,6.34
Reinaldo Varrone,28,9.89
Edna Avery,28,4.73
Marietta Ward,28,5.78
Armanda Horgan,28,8.4
Michael Mckinnon,28,4.23
Nicole Jeffries,28,9.94
Heather Peterson,28,6.67
Johanna Chavez,28,4.36
Brian Vargas,28,8.21
Charles Schueller,28,5.49
John Bond,28,9.29
Jennifer Higdon,28,9.61
Jason Page,28,9.64
Christopher Zupancic,28,5.5
Patrick Ruiz,28,5.32
Royce Hale,28,8.83
Robert Cahill,28,4.58
Ted Anderson,28,4.15
Lynn Walker,28,8.42
Brian Deubler,28,6.52
Jean Gethers,28,6.89
Michael Chavarria,28,6.47
William Julius,28,6.29
Katherine Roche,28,7.13
Minnie Cook,28,7.51
Paul Paneto,28,4.97
Eric Marchetti,28,5.47
Teresa Valiente,28,8.89
Bettie Illsley,28,6.84
Ruby Astin,28,4.1
John Ferreira,28,4.88
Everett Mccollough,28,5.82
Matthew Grogan,28,7.05
Gregory Harris,28,9.96
Lance Cainne,28,6.21
Justin Mckenney,28,7.39
Mark Shippey,28,9.87
Billy Chrisman,28,7.46
Timothy Mercado,28,6.59
George Lapointe,28,5.96
Brian Darrow,28,5.92
Sue Mahon,28,6.82
John Jones,28,8.42
Olive Williams,28,6.54
Joe Smith,28,7.27
Angelo Landrum,28,4.93
Barbara Lambert,28,5.43
Daniel Dumar,28,9.07
Heather Garcia,28,9.98
Robert Gonzalez,28,7.91
Harry Neher,28,9.4
Denise Via,27,8.11
Georgia Wilson,27,6.52
Linda Harrison,27,9.96
Ronald Oliver,27,4.15
Valerie Mondragon,27,9.54
Willie Eskridge,27,6.52
Burl Navarro,27,7.61
Lawrence Bentson,27,8.47
Michael Mcdonald,27,9.36
Billy Henry,27,7.35
Stephanie Grose,27,5.11
Patricia York,27,6.87
John Hubbard,27,6.59
Douglas Holland,27,6.25
Frances Kerr,27,8.3
Stephanie Davis,27,9.36
Bobby Walker,27,4.85
Jacqueline Macias,27,8.76
Benjamin Beck,27,8.8
Donald Lewis,27,8.64
Marta Wang,27,4.33
Mark Haven,27,8.27
Otis Bubar,27,6.14
Stacy Dingle,27,5.94
Jennifer Loftus,27,5.67
Stanley Guerrero,27,5.92
Michael Dorland,27,7.83
Joan Bodo,27,5.42
Dorothy Burke,27,5.06
Ernest Sommerville,27,4.16
Yolanda Mays,27,5.57
Raymond Brooks,27,9.49
Theodore Yates,27,7.25
Francis Robinson,27,4.19
Kirby Green,27,7.6
Leo Fleming,27,5.88
Lanny Mccrary,27,7.31
Jennifer Guerrero,27,5.02
Barbara Buck,27,8.09
Peggy Rael,27,9.0
Harry Rusher,27,7.69
Valerie Woode,27,7.79
Rachel Russell,27,6.51
Dona Chambers,27,9.43
William Moore,27,5.99
Patrick Rios,27,5.74
Maritza Evans,27,9.8
May Avent,27,4.22
Brenda Jackson,27,8.89
Holly White,27,7.29
Tom Bishop,27,4.48
Lawrence Mccullough,27,5.51
Sarah Figueiredo,27,8.94
Chad Barnes,27,7.81
Robin Santiago,27,9.74
Julia Jackson,27,5.56
Ila Tobin,27,5.46
Edward Bailey,27,6.71
Barbara Leroy,27,8.85
Mabel Dorch,27,4.56
Yolanda Conner,27,9.08
Edward Jarvie,27,5.1
William Erling,27,5.14
Sean Dieteman,27,5.96
Miguel Bertalan,27,8.19
Ann Eaton,27,8.44
Paul Rio,27,8.65
Darren Charbonneau,27,4.84
Alice Digangi,27,4.55
Maria Ceraos,27,4.26
Jimmy Dunnaway,27,4.87
Renee Munn,27,8.84
Richard Somers,27,4.48
Steve Williams,27,7.52
James Herring,27,5.65
Linda Crider,26,9.52
Rosie Watkins,26,4.08
Wilma Dominguez,26,6.94
Bertha Gary,26,8.26
Francisco Miller,26,8.81
Sarah Martindale,26,7.16
Shawn Bonifacio,26,6.26
Janette Law,26,7.02
