student name,age,average mark
Willie Gray,22,8.6
Phyllis Deloach,25,6.09
Dewey Killingsworth,20,9.31
Patricia Daniels,29,8.39
Anne Mandrell,19,9.63
Verdell Crawford,30,8.86
Mario Lilley,24,5.78
Francisco Jones,25,9.01
Donald Laurent,29,4.34
Denise Via,27,8.11
Scott Lange,19,6.65
Brenda Silva,30,7.53
James Ross,29,6.72
Kimberly Brown,18,7.05
Heather Winnike,25,4.25
Benjamin Getty,25,7.85
Linda Crider,26,9.52
Garrett Mitchell,18,4.01
Thomas Roberts,28,5.28
Pauline Montoya,29,9.09
Georgia Wilson,27,6.52
Roberta Kelly,23,8.09
Johnny Jennings,22,7.54
Sherry Grant,28,4.43
Andrew Schmidt,29,7.55
Carole Tewani,20,6.49
Linda Miller,23,6.79
Mary Glasser,30,9.77
Ruby Greig,21,7.59
Rosie Watkins,26,4.08
Wilma Dominguez,26,6.94
Daniel Youd,20,9.67
Tamara Harris,24,9.92
Arnoldo Ewert,24,9.54
John Velazquez,18,8.5
Audrey Camille,30,4.15
Helen Klein,18,6.5
Eric Ruegg,22,8.48
Vera Charles,22,5.81
Annie Sudbeck,28,9.85
Michael Clark,20,5.8
Rosa Thomas,30,4.17
Daisy Granados,22,4.12
Betty Mabry,18,5.74
Bertha Gary,26,8.26
Vickie Laigo,21,8.89
Richard Grant,24,9.07
Linda Harrison,27,9.96
Phyllis Cole,18,5.31
Devin Spencer,25,7.79
George Guest,28,9.94
Kim Pyles,30,9.87
Kristin Dean,18,9.75
Clarence Cantu,21,9.19
Kenneth Evans,21,4.86
Frank Borgeson,24,9.65
Richard Grossman,24,8.42
Ann White,29,4.26
Virginia Harris,22,9.29
Maria Benear,28,9.12
George Leno,30,9.47
Richard Hamrick,21,8.86
Tony Engel,21,9.61
Scott Miller,25,8.95
Bridget Cotter,29,7.8
Terry Major,30,8.45
Maria Boswell,29,8.39
Ronald Oliver,27,4.15
Delilah Howard,20,5.64
Jose Paul,22,5.41
Francisco Miller,26,8.81
Josephine Perkins,25,9.58
Gerald Murray,28,7.04
Randy Hord,21,8.42
Janee Bailey,22,6.79
Martha Pitcher,30,7.6
Renee Pagan,24,4.62
Kenneth Rummel,28,6.6
Doretha Ferguson,30,8.18
Donald Luevano,24,5.15
Valerie Mondragon,27,9.54
Gladys Gomez,19,6.36
Christin Cross,22,4.4
Robert Birmingham,22,5.73
Willie Eskridge,27,6.52
Josephina Medina,23,10.0
Burl Navarro,27,7.61
Lila Hill,29,9.83
David Roberts,20,9.41
Travis Rhyne,23,8.16
Robert Kirkland,21,4.99
John Torres,24,8.33
Cindy Nilson,23,8.16
Steven Lawson,21,4.37
Sylvia Kuhn,23,8.91
Richard Crawford,28,7.76
Fred Maestas,28,5.83
Janie Waterman,22,8.49
Paula Morales,28,7.51
Lawrence Bentson,27,8.47
Hattie Bramer,18,9.71
Cynthia Beegle,20,5.79
Sarah Martindale,26,7.16
Shawn Bonifacio,26,6.26
Lena Weston,29,8.01
Joyce Beatty,23,9.65
Juan Dunn,22,8.26
Barry Mckenzie,20,9.63
Joyce Foley,18,6.57
Doris Kuck,21,5.73
Kim Cohran,21,5.0
Robert Martin,25,7.14
George Jackson,25,9.67
David Hayden,19,7.08
David Barnas,20,4.7
Amada Duncan,30,9.22
Kathryn Harryman,28,6.82
Janette Law,26,7.02
Tonja Bull,21,5.36
Alissa Belyoussian,25,6.54
Lou Bible,26,8.37
Marc Bibbs,18,6.26
Arthur Kuhl,18,6.48
Martha Woods,23,6.83
Jeffrey Petty,20,6.36
Harry Dampeer,21,7.81
Wesley Wolf,18,9.2
Elizabeth Lowe,28,7.42
Marvin Silvas,26,6.27
Donald Hardnett,19,7.21
Michael Mcdonald,27,9.36
Edna Mahoney,23,5.24
Deborah Penn,18,7.98
Ethel Disher,22,4.28
Michael Jackson,23,4.31
Kevin Houston,19,6.53
Margaret Branstetter,28,6.57
Billy Henry,27,7.35
Christopher Mcintire,25,8.54
Amy Martin,21,7.13
Stephanie Grose,27,5.11
Deanna Kathan,30,8.9
Ann Arteaga,26,8.33
David Goins,29,6.27
Paul Alexander,21,5.24
Robert Parker,18,8.88
Patricia York,27,6.87
Donna Baker,21,4.17
Carla Morris,21,5.92
John Hubbard,27,6.59
Oscar Linahan,28,4.68
David Cain,30,6.75
Cindy Oconnor,22,4.74
Nicholas Richter,20,6.46
Faye Roberge,18,8.49
Jessica Keenan,21,9.9
Rebecca Garcia,22,4.22
Esther Simmering,28,9.31
Lou Houston,22,9.91
Rebecca Gillies,19,4.09
Philip Urbanski,21,8.87
Teresa Perkins,24,5.85
Mary Holley,25,6.74
Tricia Davanzo,19,5.17
Bridget Mcneal,26,5.46
Douglas Holland,27,6.25
Justin Whitmer,22,5.62
David Davis,18,6.81
Frances Kerr,27,8.3
Kim Ellis,24,8.32
Brian Brown,21,6.25
Monica Lubrano,22,8.02
Joyce Skaggs,29,8.43
Penelope Fries,18,6.81
Alice Randolph,26,8.1
